fecha,mes,dia_semana,hora,tipo,rango_londres,ratio_mecha_sweep,distancia_sl,resultado
2024-01-02 09:30,1,1,9,1,13.83,0.507,4.34,0
2024-01-03 09:50,1,2,9,1,22.543,0.256,6.63,1
2024-01-04 10:00,1,3,10,1,7.61,0.969,5.32,1
2024-01-05 10:45,1,4,10,0,7.203,0.53,6.553,1
2024-01-09 09:15,1,1,9,0,7.283,0.719,3.11,1
2024-01-10 09:30,1,2,9,1,10.07,0.638,3.16,0
2024-01-11 10:20,1,3,10,1,4.81,0.655,4.573,0
2024-01-12 09:45,1,4,9,0,16.68,0.537,3.02,1
2024-01-15 10:30,1,0,10,1,7.24,0.37,3.215,1
2024-01-16 13:30,1,1,13,1,14.5,0.202,3.91,0
2024-01-18 14:05,1,3,14,0,9.08,0.381,2.16,0
2024-01-19 10:50,1,4,10,1,8.95,0.367,3.88,0
2024-01-22 09:50,1,0,9,1,9.693,0.222,7.047,1
2024-01-23 10:05,1,1,10,1,9.357,0.76,4.35,1
2024-01-25 10:20,1,3,10,0,6.89,0.395,4.07,0
2024-01-26 09:10,1,4,9,0,6.44,0.328,2.36,1
2024-01-29 09:15,1,0,9,0,8.167,0.951,1.73,1
2024-01-30 10:00,1,1,10,0,8.03,0.107,6.773,1
2024-01-31 10:25,1,2,10,0,4.25,0.366,3.703,1
2024-02-01 09:55,2,3,9,0,12.84,0.909,5.03,0
2024-02-02 09:45,2,4,9,1,4.12,0.824,7.053,0
2024-02-05 09:20,2,0,9,1,7.703,0.87,2.207,1
2024-02-06 09:30,2,1,9,0,5.37,0.599,3.08,0
2024-02-07 09:20,2,2,9,0,5.2,0.612,3.377,0
2024-02-08 13:30,2,3,13,0,15.29,0.453,2.907,1
2024-02-09 10:05,2,4,10,1,7.43,0.207,3.617,0
2024-02-12 10:20,2,0,10,1,7.243,0.47,3.83,0
2024-02-14 10:45,2,2,10,1,7.37,0.792,3.19,1
2024-02-15 10:35,2,3,10,0,5.57,0.5,6.39,1
2024-02-16 10:05,2,4,10,1,4.29,0.85,6.93,1
2024-02-20 09:30,2,1,9,0,7.21,0.835,3.13,1
2024-02-22 09:45,2,3,9,1,7.553,0.158,3.6,0
2024-02-26 10:40,2,0,10,1,6.32,0.274,3.55,1
2024-02-27 10:45,2,1,10,1,4.85,0.682,2.113,0
2024-02-28 09:30,2,2,9,0,5.99,0.463,4.55,1
2024-02-29 09:30,2,3,9,0,9.37,0.509,3.223,0
2024-03-05 10:45,3,1,10,0,12.88,0.764,10.033,0
2024-03-07 10:00,3,3,10,1,6.607,0.716,8.02,1
2024-03-08 10:15,3,4,10,0,9.98,0.047,5.07,0
2024-03-12 09:30,3,1,9,1,21.103,0.098,10.7,0
2024-03-20 10:35,3,2,10,0,8.8,0.617,9.7,0
2024-03-21 10:50,3,3,10,1,14.95,0.362,7.611,0
2024-03-22 09:30,3,4,9,0,11.283,0.206,5.569,1
2024-03-25 09:25,3,0,9,0,13.23,0.779,3.283,1
2024-04-01 10:55,4,0,10,1,17.61,0.164,7.62,1
2024-04-02 10:40,4,1,10,0,13.61,0.246,11.343,1
2024-04-04 10:00,4,3,10,1,11.833,0.092,7.373,1
2024-04-10 09:40,4,2,9,1,12.94,0.996,13.59,1
2024-04-11 10:10,4,3,10,0,14.99,0.507,5.59,0
2024-04-15 10:30,4,0,10,1,16.46,0.369,12.777,1
2024-04-17 10:00,4,2,10,0,16.387,0.796,7.287,0
2024-04-18 09:35,4,3,9,0,10.41,0.514,13.609,1
2024-04-19 13:35,4,4,13,0,20.99,0.945,4.467,1
2024-04-22 09:10,4,0,9,1,26.311,0.509,5.969,0
2024-04-23 10:10,4,1,10,0,19.83,0.907,7.37,0
2024-04-25 09:30,4,3,9,1,10.333,0.266,6.641,1
2024-04-26 09:55,4,4,9,1,14.393,0.772,4.7,0
2024-04-29 13:35,4,0,13,0,15.3,0.6,3.027,1
2024-04-30 09:35,4,1,9,1,13.11,0.445,5.23,0
2024-05-01 10:30,5,2,10,0,13.61,0.247,8.923,0
2024-05-02 10:15,5,3,10,1,19.93,0.241,12.157,1
2024-05-03 09:15,5,4,9,0,6.79,0.538,5.53,1
2024-05-06 10:35,5,0,10,0,11.787,0.394,9.713,1
2024-05-07 10:35,5,1,10,0,12.037,0.604,5.354,1
2024-05-09 10:40,5,3,10,0,10.913,0.273,9.607,0
2024-05-14 09:30,5,1,9,0,12.123,0.104,6.65,0
2024-05-15 09:15,5,2,9,0,15.85,0.911,6.72,1
2024-05-16 10:00,5,3,10,1,10.45,0.591,6.28,0
2024-05-17 09:35,5,4,9,0,9.16,0.736,6.66,0
2024-05-20 09:50,5,0,9,1,22.287,0.167,6.97,1
2024-05-21 09:40,5,1,9,0,15.144,0.505,5.78,0
2024-05-23 09:25,5,3,9,0,14.31,0.148,5.8,1
2024-05-24 09:45,5,4,9,0,7.76,0.73,8.13,1
2024-05-27 10:35,5,0,10,0,8.11,0.546,3.15,1
2024-05-30 10:40,5,3,10,0,10.34,0.991,5.143,0
2024-05-31 09:30,5,4,9,0,6.09,0.093,8.65,1
2024-06-03 09:35,6,0,9,0,11.033,0.597,4.18,0
2024-06-04 10:00,6,1,10,1,19.615,0.536,6.947,0
2024-06-05 10:05,6,2,10,0,6.419,0.849,8.513,0
2024-06-06 09:20,6,3,9,1,9.813,0.87,5.87,1
2024-06-07 09:20,6,4,9,1,48.27,0.458,7.0,0
2024-06-10 09:25,6,0,9,0,16.27,0.36,4.15,1
2024-06-11 09:15,6,1,9,0,8.483,0.08,6.277,1
2024-06-12 09:35,6,2,9,0,4.963,0.436,14.14,1
2024-06-13 09:50,6,3,9,0,16.01,0.827,13.86,1
2024-06-17 09:40,6,0,9,0,7.05,0.259,6.663,0
2024-06-18 10:10,6,1,10,0,13.56,0.792,4.25,0
2024-06-19 10:25,6,2,10,1,9.153,0.144,3.741,1
2024-06-24 09:55,6,0,9,0,12.063,0.287,6.01,0
2024-06-26 10:00,6,2,10,1,14.02,0.489,7.481,1
2024-06-27 09:40,6,3,9,0,18.9,0.61,4.253,0
2024-06-28 10:20,6,4,10,0,12.383,0.418,11.337,1
2024-07-01 10:55,7,0,10,1,16.613,0.125,5.02,1
2024-07-04 10:50,7,3,10,0,6.413,0.569,3.59,1
2024-07-05 10:00,7,4,10,0,6.24,0.289,7.58,0
2024-07-09 10:00,7,1,10,0,8.06,0.241,10.853,1
2024-07-10 10:15,7,2,10,0,7.563,0.468,5.833,1
2024-07-11 09:40,7,3,9,0,5.8,0.602,13.443,0
2024-07-12 09:55,7,4,9,1,9.953,0.058,5.76,1
2024-07-16 09:55,7,1,9,0,10.9,0.369,5.45,0
2024-07-17 10:05,7,2,10,0,14.72,0.292,11.043,1
2024-07-18 09:55,7,3,9,1,13.39,0.374,7.61,1
2024-07-24 09:10,7,2,9,0,8.693,0.904,3.65,1
2024-07-25 10:25,7,3,10,1,16.91,0.43,8.25,0
2024-07-26 10:50,7,4,10,0,8.147,0.733,9.07,0
2024-07-29 09:45,7,0,9,0,9.93,0.646,6.23,1
2024-07-30 10:00,7,1,10,0,6.05,0.568,8.503,1
2024-07-31 10:20,7,2,10,0,7.803,0.539,6.413,0
2024-09-05 09:45,9,3,9,0,15.383,0.401,5.41,0
2024-09-06 10:40,9,4,10,1,5.69,0.571,13.24,0
2024-09-09 09:50,9,0,9,0,10.31,0.32,5.704,1
2024-09-10 09:35,9,1,9,0,9.531,0.816,5.36,1
2024-09-11 09:15,9,2,9,1,8.04,0.447,6.99,0
2024-09-12 10:10,9,3,10,0,8.0,0.239,8.519,0
2024-09-17 13:25,9,1,13,1,15.949,0.688,4.531,1
2024-09-18 14:00,9,2,14,1,12.75,0.429,16.359,1
2024-09-19 10:20,9,3,10,1,19.86,0.325,8.799,1
